date,open,high,low,close,volume
29/09/2014,63.4385,64.3628,63.1457,64.2228,9517529
30/09/2014,64.6142,65.3127,64.2571,64.4542,12478207
01/10/2014,64.0985,64.2857,62.4699,62.6857,15421658
02/10/2014,62.6999,64.3556,62.5542,64.2828,18453435
03/10/2014,64.7414,65.7999,64.6442,65.6485,15292396
06/10/2014,65.9999,66.7442,65.8571,66.2114,13711348
07/10/2014,65.8714,66.6114,65.1428,65.1785,13760117
08/10/2014,65.2356,66.7999,64.4834,66.6942,14344064
09/10/2014,66.6614,66.8556,65.6514,65.9456,14933275
10/10/2014,65.6856,66.4056,64.4914,64.5828,19122845
13/10/2014,64.4642,64.6385,61.8571,62.6542,20231323
14/10/2014,63.6442,64.5699,62.5899,64.1599,16759701
15/10/2014,63.4957,64.4256,61.4542,64.0842,59927574
16/10/2014,47.5328,52.3099,47.2857,51.6714,92304996
17/10/2014,51.4014,51.4385,48.7857,51.0128,79185463
20/10/2014,50.8571,52.7414,50.7931,51.3171,33538421
21/10/2014,51.7514,52.3985,50.7771,52.2842,19392527
22/10/2014,52.7128,54.5685,51.8857,53.5214,32175689
23/10/2014,54.3599,55.1099,54.0357,54.7199,19926837
24/10/2014,54.6542,55.2857,54.4014,55.0028,14662830
27/10/2014,54.8428,54.9285,53.8142,54.1999,14951363
28/10/2014,54.2499,55.2671,54.0499,55.1742,11750844
29/10/2014,55.1742,55.2396,53.9671,54.0142,12560058
30/10/2014,53.9299,54.6199,53.5142,54.1442,10593681
31/10/2014,54.9142,56.2528,54.8571,56.1099,20486739
03/11/2014,56.1757,56.5028,55.0157,55.4871,17608381
04/11/2014,55.2742,55.3214,54.1099,54.6828,11389833
05/11/2014,55.0871,55.4057,53.7702,54.3399,13645758
06/11/2014,53.9999,55.0471,53.9071,54.7571,9991933
07/11/2014,54.7771,55.0357,54.1857,54.8799,9303980
10/11/2014,54.7142,55.6357,54.1428,55.3242,9711317
11/11/2014,55.3242,56.2999,54.5442,54.6499,14849177
12/11/2014,54.4471,55.1371,53.8634,54.8371,10958724
13/11/2014,54.9228,55.0069,53.9321,54.2014,10490466
14/11/2014,54.1971,55.3171,54.0807,55.1485,10988621
17/11/2014,55.0542,55.6428,54.3928,54.4485,9225643
18/11/2014,54.4285,54.9857,54.3614,54.4328,7927178
19/11/2014,54.7442,55.2928,51.8085,51.8714,24515421
20/11/2014,51.8699,53.3228,51.5714,52.5914,15425431
21/11/2014,53.2114,53.3214,51.3571,51.4685,17877783
24/11/2014,51.5085,51.9226,50.7714,50.9242,17863909
25/11/2014,50.1457,50.3476,49.1428,49.8557,28100842
26/11/2014,50.1542,50.5271,49.7454,50.1657,10065321
28/11/2014,50.5128,50.5714,49.4271,49.5128,6702255
01/12/2014,49.2857,49.5714,48.2343,48.83,11964673
02/12/2014,48.7571,50.4771,48.6914,50.3299,14271698
03/12/2014,50.2214,50.7314,49.1814,50.7314,13831902
04/12/2014,50.4285,51.1357,49.9085,50.0857,11864713
05/12/2014,50.1471,50.6428,49.7328,50.1314,9929871
08/12/2014,49.8814,49.9828,48.29,48.4971,13628643
09/12/2014,47.82,49.3371,47.0028,49.1114,17994368
10/12/2014,49.0214,49.2471,47.6657,47.76,12674977
11/12/2014,48.0128,48.7,47.6557,47.8042,11771424
12/12/2014,47.4171,48.3228,46.98,47.7828,13574519
15/12/2014,48.0557,48.4185,46.6185,46.72,12025545
16/12/2014,46.4271,47.07,45.1428,45.2057,16981174
17/12/2014,45.3757,47.8671,45.0772,47.6642,20193047
18/12/2014,48.4,48.9285,47.2328,47.7742,15639365
19/12/2014,47.9,48.72,47.6214,48.5885,15048061
22/12/2014,48.5428,49.24,47.7485,48.0971,8007650
23/12/2014,48.2871,48.4278,47.4728,48.0614,8307964
24/12/2014,48.0728,49.07,47.9985,48.8714,5412407
26/12/2014,48.8442,49.4842,48.5342,48.5785,8847447
29/12/2014,47.97,49.1042,47.6528,48.8471,8608586
30/12/2014,48.7142,49.14,48.5388,49.0328,7011221
31/12/2014,49.0328,49.3914,48.7871,48.8014,8627773
02/01/2015,49.1514,50.3314,48.7314,49.8485,13474825
05/01/2015,49.2585,49.2585,47.1472,47.3114,18165021
06/01/2015,47.3471,47.64,45.6614,46.5014,16037952
07/01/2015,47.3471,47.4214,46.2714,46.7428,9850022
08/01/2015,47.12,47.8357,46.4785,47.7792,9624209
09/01/2015,47.6314,48.02,46.8985,47.0414,9577960
12/01/2015,47.09,47.1985,45.2642,45.5471,12944610
13/01/2015,46.0214,47.0482,45.9,46.2557,18729256
14/01/2015,47.0714,47.37,45.68,46.32,19884599
15/01/2015,46.5471,46.7857,45.8442,46.2514,11678688
16/01/2015,46.8571,48.25,46.3814,48.1914,19696474
20/01/2015,48.5714,49.9999,47.7142,49.8285,40551287
21/01/2015,59.2342,59.2399,57.4099,58.4685,66902766
22/01/2015,58.5714,61.3742,57.8285,61.2057,33319398
23/01/2015,60.9885,62.7428,60.8814,62.4935,26784352
26/01/2015,62.5714,63.8985,61.9571,63.7942,21269045
27/01/2015,63.0871,65.3399,63.0499,64.8814,24612553
28/01/2015,64.7414,64.8214,63.0814,63.2085,24532858
29/01/2015,63.2042,63.9271,62.4999,63.3999,15127938
30/01/2015,63.1328,63.9842,62.6557,63.1142,13215601
02/02/2015,62.8428,63.4285,61.9557,63.0092,12990789
03/02/2015,63.3199,65.4671,62.7299,65.2742,16439913
04/02/2015,65.0414,65.1742,63.8892,64.1014,12450942
05/02/2015,64.5414,65.1385,63.6657,64.1299,14248724
06/02/2015,64.2499,64.4285,63.1757,63.4799,8898260
09/02/2015,63.1985,63.7857,62.6371,63.2949,8179332
10/02/2015,63.4599,65.1576,63.1014,64.8499,15418879
11/02/2015,64.8299,66.1414,64.5571,64.9842,13953296
12/02/2015,65.0585,65.6071,64.4514,65.2471,8471939
13/02/2015,65.4285,66.6299,65.4228,66.5856,12968746
17/02/2015,66.5156,67.3714,65.9442,67.1371,11170404
18/02/2015,67.0228,68.0699,66.6456,67.8656,10316831
19/02/2015,67.8571,68.7142,67.5742,67.7999,10438554
20/02/2015,67.9499,68.3744,67.6371,68.3142,9421846
23/02/2015,68.2999,68.3142,67.1428,67.4056,9031701
24/02/2015,67.3728,68.0835,67.3556,67.8399,6075202
25/02/2015,67.8071,68.7942,67.8071,68.3328,6859867
26/02/2015,68.6256,69.4998,68.4299,69.0042,10852884
27/02/2015,69.0814,69.4285,67.8185,67.8442,11516694
02/03/2015,67.7142,68.6071,67.2342,68.6071,10186925
03/03/2015,68.3442,68.4564,67.5071,67.8156,7426608
04/03/2015,67.5299,67.9256,66.1828,67.1099,17453779
05/03/2015,67.4285,67.4641,66.4199,66.8071,11248986
06/03/2015,66.6428,66.9258,64.8442,64.8742,12888540
09/03/2015,64.9899,65.0928,62.8285,63.6614,18970931
10/03/2015,63.0157,63.3514,61.9828,62.1514,17947034
11/03/2015,62.2399,63.9405,62.2399,62.8842,16363417
12/03/2015,63.3471,64.5828,63.3399,64.0457,14654647
13/03/2015,63.9071,64.0571,62.3671,62.6285,10160997
16/03/2015,61.5471,61.5471,59.6199,60.2814,26796119
17/03/2015,59.7128,60.6942,59.3842,59.7885,18428130
18/03/2015,59.7385,60.6499,59.2999,60.4457,14634935
19/03/2015,60.4599,61.2119,60.2557,60.7442,11449823
20/03/2015,61.3371,61.7857,60.8957,61.1849,13641838
23/03/2015,60.8899,61.1557,60.3301,60.7142,7664104
24/03/2015,61.1357,63.0985,61.1188,62.6114,16888746
25/03/2015,62.6842,62.6914,60.2442,60.2499,21652386
26/03/2015,59.6285,60.4471,59.3899,59.7514,16038785
27/03/2015,59.3299,59.8471,58.5728,59.2528,15851934
30/03/2015,59.7157,60.5642,59.3642,60.3671,13272378
31/03/2015,60.1099,60.4199,59.4557,59.5271,14248605
01/04/2015,59.6428,59.7857,58.7028,59.0171,14639744
02/04/2015,59.0714,59.6071,58.8614,59.1542,9864211
06/04/2015,58.7685,60.4471,58.4642,60.3299,10730328
07/04/2015,60.4971,60.8485,60.0428,60.4942,9977716
08/04/2015,61.2014,63.1071,61.1845,63.0499,22327697
09/04/2015,62.9999,63.1357,62.1142,62.7857,13455540
10/04/2015,64.3971,64.9956,63.9471,64.9385,22367093
13/04/2015,67.2399,69.2856,67.0571,67.8114,44436945
14/04/2015,68.8571,69.1428,67.4214,68.3871,28642138
15/04/2015,68.7042,68.7042,67.3639,67.9228,42528619
16/04/2015,75.9999,81.2499,75.7142,80.2928,104500746
17/04/2015,79.7785,82.1428,79.7142,81.6499,58306367
20/04/2015,81.7856,82.3042,80.3813,81.0556,30766400
