ID;Tipo;Dirección;Número;Ubicación;Ciudad;Precio;Habitaciones;Metros_Cuadrados;Planta;Planta_Descripcion;Exterior;Ascensor;Parking;Agencia;Enlace;Descripción
108627993;Piso;Calle San Bernardo;s/n;Centro - Puerto;Gijón;410000;1;75;;2ª;Exterior;Sí;No;Alonso y Asociados Gestión Inmobiliaria;https://www.idealista.com/inmueble/108627993/;PISO EXCLUSIVO EN CALLE SAN BERNARDO - EDIFICIO CATALOGADO Ponemos a la venta este bonito piso con TECHOS ALTOS y decorado con un gusto exquisito. En la actualidad está distribuído en: * Vestíbulo * Amplio salón-comedor de unos 35 m2 con salida a una pequeña terraza * Cocina totalmente equipada * Baño con ducha * H
109544743;Ático;Centro - San Lorenzo;s/n;Centro - San Lorenzo;Gijón;1790000;5;230;;5ª;Exterior;Sí;No;EurocasaGijon;https://www.idealista.com/inmueble/109544743/;â¨ Vivir frente al mar en Gijón â¨ Ubicado en un enclave privilegiado, en la Primera Línea de la Playa de San Lorenzo, en el corazón de Gijón, presentamos este exclusivo ático con impresionantes vistas al mar. Una vivienda única donde cada amanecer se convierte en un espectáculo y el sonido de las olas marca el rit
110064406;Piso;Calle Cabrales;62;Centro - Puerto;Gijón;340000;3;97;;3ª;Exterior;No;No;Agencia Alvarez;https://www.idealista.com/inmueble/110064406/;¡Tercera planta en edificio histórico y señorial situado en el CENTRO de la ciudad y junto a la PLAYA de San Lorenzo! En la calle Cabrales, en pleno centro de Gijón, se encuentra esta vivienda única en un edificio diseñado por el prestigioso arquitecto Mariano Marín Magallán. Residiendo en pleno centro de Gijón, se e
109340512;Piso;Calle Asturias;s/n;Centro - Puerto;Gijón;390000;2;83;;4ª;Exterior;Sí;No;Veri Corral Inmobiliaria;https://www.idealista.com/inmueble/109340512/;Veri Corral Inmobiliaria pone a la venta, en exclusiva, esta vivienda en el corazón de Gijón, en la calle Asturias. Este precioso piso de 83 metros cuadrados construidos, exterior y ubicado en una cuarta planta, se distribuye en un amplio salón haciendo esquina, con grandes ventanales donde destaca la luminosidad, c
106939476;Piso;Calle Gregorio García Jove;s/n;Cimadevilla;Gijón;290000;2;80;;1ª;Exterior;No;No;Veri Corral Inmobiliaria;https://www.idealista.com/inmueble/106939476/;¿Te gustaría estrenar vivienda, a tan solo 150 mt. de la Playa de San Lorenzo? Veri Corral te ofrece la posibilidad, de la mano de esta exclusiva propiedad ubicada en el corazón del emblemático barrio de Cimadevilla. Ubicada en un edificio rehabilitado integralmente, que alberga únicamente dos propiedades gemelas en
109353796;Piso;Calle Numa Guilhou;s/n;Centro - Puerto;Gijón;215000;1;57;;1ª;Exterior;No;No;Veri Corral Inmobiliaria;https://www.idealista.com/inmueble/109353796/;Veri Corral te presenta este acogedor apartamento ubicado en un edificio catalogado de 1890. La vivienda de 57 metros cuadrados construidos, se distribuye en salón, cocina un dormitorio con vestidor y baño. Piso todo exterior y con la luz natural como protagonista. Sus techos altos y detalles originales transmiten e
109634675;Ático;Avenida de la Costa;s/n;Centro - Puerto;Gijón;325000;2;89;;10ª;Exterior;Sí;No;Agencia Asturias;https://www.idealista.com/inmueble/109634675/;Estupendo ático, en el centro de Gijón, muy soleado y con preciosas vistas. Tiene muchas reformas y está para entrar a vivir, aunque actualmente se encuentra alquilado, por lo que tendrá la oportunidad de adquirir una propiedad muy especial como inversión. No espere más y venga a verlo con nosotros a la Agencia Asturia
109336862;Piso;Calle Marqués de San Esteban;s/n;Centro - Puerto;Gijón;460000;3;129;;2ª;Exterior;Sí;No;Veri Corral Inmobiliaria;https://www.idealista.com/inmueble/109336862/;Veri Corral Boutique Inmobiliaria presenta, en exclusiva, piso listo para entrar a vivir de 129 metros cuadrados construidos, en el corazón del puerto deportivo de Gijón, a escasos metros de la playa de Poniente y a 5 minutos de la playa de San Lorenzo. Una magnífica propiedad construida en 2003 y conservada con un cui
106853932;Piso;Calle Martínez Marina;s/n;Centro - Puerto;Gijón;520000;4;134;;3ª;Exterior;Sí;No;Veri Corral Inmobiliaria;https://www.idealista.com/inmueble/106853932/;Veri Corral Inmobiliaria les ofrece, en exclusiva, este magnífico piso en la calle Instituto, en el mismo centro de Gijón, al lado de la Plaza del Carmen y a un paso del Puerto Deportivo. La vivienda, totalmente reformada y exterior, consta de 113 metros cuadrados construidos y se distribuye en salón-comedor, cocina
109988695;Piso;Calle de los Moros;38;Centro - Puerto;Gijón;395000;3;110;;3ª;Exterior;Sí;No;Agencia Alvarez;https://www.idealista.com/inmueble/109988695/;CENTRO, tercera planta, EXTERIOR, a 2 minutos de la PLAYA de San Lorenzo, muy luminosa! Les presentamos la oportunidad perfecta para vivir en pleno centro de la ciudad. La excelente ubicación del piso garantiza un acceso inmejorable a todos los servicios necesarios para su día a día. A pocos pasos encontrará una ampli
